stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000220,220,Shantalla Bridge,,53.38794,-6.244981,,,,
8220DB000228,228,Shanliss Road,,53.391877,-6.25972,,,,
8220DB000233,233,Shantalla Road,,53.385821,-6.233537,,,,
8220DB000234,234,Beaumont Grove,,53.384951,-6.234821,,,,
8220DB000235,235,Grace Park Court,,53.383297,-6.237249,,,,
8220DB000236,236,Yellow Road,,53.382025,-6.238159,,,,
8220DB000237,237,Whitehall Cross,,53.382032,-6.243525,,,,
8220DB000242,242,Coolgreena Road,,53.385655,-6.23201,,,,
8220DB000243,243,Beaumont Crescent,,53.38578,-6.22954,,,,
8220DB000244,244,Skelly's Lane,,53.384998,-6.223498,,,,
8220DB000245,245,Whitethorn Rise,,53.384472,-6.219567,,,,
8220DB000246,246,Artaine Castle,,53.385151,-6.216231,,,,
8220DB000247,247,Maryfield Drive,,53.386976,-6.214501,,,,
8220DB000248,248,Maryfield Drive,,53.3855645601725,-6.21446963135785,,,,
8220DB000249,249,Artaine Castle,,53.384934,-6.21615,,,,
8220DB000250,250,Whitethorn Rise,,53.384419,-6.220245,,,,
8220DB000251,251,Skelly's Lane,,53.384832,-6.22322,,,,
8220DB000252,252,Beaumont Crescent,,53.385568,-6.22797,,,,
8220DB000253,253,Beaumont Hospital,,53.389963,-6.224299,,,,
8220DB000254,254,Beaumont Hospital,,53.390265,-6.224106,,,,
8220DB000255,255,Coolgreena Road,,53.385594,-6.231532,,,,
8220DB000259,259,Grace Park Road,,53.374011,-6.243885,,,,
8220DB000261,261,Parnell Square East,,53.354056,-6.262853,,,,
8220DB000262,262,Parnell Square East,,53.353947,-6.262753,,,,
8220DB000263,263,Parnell Square East,,53.353746,-6.262505,,,,
8220DB000264,264,Parnell Square East,,53.353316,-6.26197,,,,
8220DB000265,265,Parnell Square East,,53.353122,-6.261658,,,,
8220DB000270,270,O'Connell Street Upper,,53.350623,-6.260424,,,,
8220DB000271,271,O'Connell Street Lower,,53.348596,-6.259485,,,,
8220DB000273,273,O'Connell Bridge,,53.347247,-6.258819,,,,
8220DB000274,274,O'Connell Street Upper,,53.3503490838222,-6.26072086862175,,,,
8220DB000276,276,River Road,,53.377402,-6.331797,,,,
8220DB000277,277,O'Connell Street Upper,,53.350822325818,-6.26050631978692,,,,
8220DB000278,278,O'Connell Street Upper,,53.351561,-6.261227,,,,
8220DB000279,279,O'Connell Street Upper,,53.350132,-6.26061,,,,
8220DB000281,281,O'Connell Street Upper,,53.351343,-6.261116,,,,
8220DB000284,284,Rathbourne Avenue,,53.377283,-6.328389,,,,
8220DB000286,286,Cathal Brugha Street,,53.352171,-6.259911,,,,
8220DB000288,288,Irish Life,,53.349169,-6.255602,,,,
8220DB000289,289,Abbey Street,,53.349035,-6.256298,,,,
8220DB000292,292,Abbey Street Lower,,53.3492,-6.255255,,,,
8220DB000297,297,Eden Quay,,53.3481432679358,-6.25677012601713,,,,
8220DB000298,298,Eden Quay,,53.348201,-6.256392,,,,
8220DB000299,299,Eden Quay,,53.348242,-6.256135,,,,
8220DB000300,300,Eden Quay,,53.348299,-6.255757,,,,
8220DB000301,301,Eden Quay,,53.347988,-6.256626,,,,
8220DB000302,302,Eden Quay,,53.348038,-6.256339,,,,
8220DB000303,303,Eden Quay,,53.34806,-6.255992,,,,
8220DB000307,307,O'Donovan Road,,53.334577,-6.280087,,,,
8220DB000308,308,Oscar Square,,53.336771,-6.279534,,,,
8220DB000309,309,Ardee Street,,53.33784,-6.27895,,,,
8220DB000312,312,Wellington Quay,,53.3454764728264,-6.2662061554843,,,,
8220DB000315,315,Bachelors Walk,,53.347028,-6.261667,,,,
8220DB000316,316,Bachelors Walk,,53.346893,-6.262228,,,,
8220DB000317,317,Westmoreland Street,,53.3465259444496,-6.25926936624482,,,,
8220DB000319,319,Westmoreland Street,,53.34622,-6.25929,,,,
8220DB000320,320,Westmoreland Street,,53.3456456323889,-6.25930523253448,,,,
8220DB000322,322,Gulliver's Retail Park,,53.4042549924644,-6.26535084532186,,,,
8220DB000325,325,Aston Quay,,53.3466970502533,-6.2599082595371,,,,
8220DB000328,328,Aston Quay,,53.346333,-6.26144,,,,
8220DB000329,329,Aston Quay,,53.346274,-6.261683,,,,
8220DB000333,333,D'Olier Street,,53.346692,-6.258346,,,,
8220DB000334,334,D'Olier Street,,53.346581,-6.258126,,,,
8220DB000335,335,D'Olier Street,,53.346361,-6.257849,,,,
8220DB000336,336,D'Olier Street,,53.346252,-6.257719,,,,
8220DB000340,340,Townsend Street,,53.345975,-6.256017,,,,
8220DB000341,341,South Townsend Street,,53.345945,-6.256424,,,,
